"","Variable","n","per","m","first_q","third_q","ma","first_qa","third_qa","m_ratio","m_ratio_fq","m_ratio_tq","Type"
"1","All",1048,1,4.4,2.0375,6.8,3.5178206244478,1.74026997974083,5.9447455112268,0.918653930300109,0.653594793280802,1.31807401782677,"All"
"2","MW",600,0.572519083969466,5,3.1,7.825,4.10415537903313,2.22165512864716,6.3071718345839,0.857772797038766,0.61917142581916,1.21097967933076,"Region"
"3","NE",448,0.427480916030534,3,1.3875,5.15,2.74788829965958,1.32486685401382,4.99353600283,1.02000430384137,0.68949987344764,1.45583232359336,"Region"
"4","1",632,0.603053435114504,4.5,2.3,7.2125,3.82183277886164,2.02152706089136,6.21719693454045,0.91607937067624,0.654064322014325,1.30614727362048,"Potential"
"5","2",351,0.334923664122137,4.1,1.9,6.4,3.2367704483397,1.30371829102285,5.28929139984812,0.894255562271617,0.622939482551494,1.29623295156838,"Potential"
"6","3",64,0.0610687022900763,2.25,1.3125,4.925,2.33027902773487,1.28366355036968,4.17803654703939,1.10706944887584,0.761900767046497,1.46990586668215,"Potential"
"7","(84,98]",271,0.258587786259542,4.9,3.25,7.9,4.01132422858257,2.25867267733231,6.66782334694069,0.925247092360069,0.665816133664251,1.30049871698184,"Duration"
"8","(98,125]",254,0.24236641221374,4.375,2.25,6.2,3.55589718670849,1.94211359070683,6.15223865363399,0.923029497120267,0.689628261700092,1.2274309834427,"Duration"
"9","(125,192]",265,0.252862595419847,3.8,1.6,6.6,3.45750013245733,1.65970853625994,5.73220495449012,0.984193330925265,0.675827954848769,1.42717012787131,"Duration"
"10","(192,359]",257,0.245229007633588,3.9,1.9,6.65,2.870187200736,1.22184606634561,5.12713197130777,0.825430216867113,0.549432629609819,1.2791097145331,"Duration"
"11","Winter",362,0.345419847328244,4.4,2.2,6.675,3.82027120830315,1.81246358684811,6.08384824157141,0.961328727024471,0.688376352049498,1.32899375652858,"Season"
"12","Spring",240,0.229007633587786,4.6,2.25,7.525,3.60626853560786,1.73770510556638,6.24191566013574,0.886698603627969,0.583470853502588,1.31399591743815,"Season"
"13","Summer",174,0.166030534351145,3.2,1.3625,5.175,2.86971242991123,1.52357289954153,4.55262507615486,0.925817389968209,0.647360286842508,1.34989508818832,"Season"
"14","Autumn",272,0.259541984732824,4.55,2.4,7.375,3.65252805335119,1.91687733309395,5.97492781392999,0.884481014453768,0.68120150922176,1.24249687751741,"Season"
"15","(246,272]",261,0.249045801526718,4.4,2.3,6.3,4.07322177355687,1.85453546051237,6.16381766861875,0.980832824542347,0.660365105425119,1.34625890288409,"Temperature"
"16","(272,279]",262,0.25,4.425,2.3,7.575,3.73111152899703,1.92526060086064,6.04206837608166,0.903601886174586,0.69038586302017,1.25924742926507,"Temperature"
"17","(279,289]",262,0.25,4.4,2.1125,7.5,3.45876123811585,1.73472924189041,6.25829567585161,0.904271687781248,0.637435162812201,1.29302190154373,"Temperature"
"18","(289,306]",262,0.25,3.875,1.825,6.175,2.96988513790027,1.67171496705729,4.70492625219535,0.852882329418454,0.628037821693187,1.33885881753475,"Temperature"
"19","(23.5,70.2]",261,0.249045801526718,4.8,2.4,7.6,3.89701054016255,2.13941848294726,6.84004615178431,0.938532054999581,0.62461436836886,1.32724631166659,"Humidity"
"20","(70.2,79.4]",262,0.25,3.8,1.7,5.875,2.97362634447452,1.49814014599755,4.85989037411624,0.918029837645397,0.67368565308153,1.3438075421605,"Humidity"
"21","(79.4,86.5]",262,0.25,4.4,2.2,6.6125,3.72090638816106,1.89013381598221,5.64847666461223,0.898623738915757,0.636140649843148,1.25161500586836,"Humidity"
"22","(86.5,97.4]",262,0.25,4.225,2.25,6.675,3.53626191171639,1.52657140984525,6.19373569509229,0.914400391362751,0.665816861483607,1.27519125114141,"Humidity"
"23","(0.264,2.55]",261,0.249045801526718,4.1,1.9,6.6,3.10773236069234,1.66989908180825,5.32183273940865,0.920789732408243,0.636719836953969,1.36800895199617,"Wind_Velocity"
"24","(2.55,3.7]",262,0.25,4.7,2.3,6.975,3.76369195643696,1.85912783627833,5.93923638243857,0.857165465126434,0.607854999344697,1.19502793858659,"Wind_Velocity"
"25","(3.7,5.14]",262,0.25,3.9,1.9,6.8,3.32350142708378,1.56253100765564,5.86421581682026,0.928883791631036,0.684487874449549,1.32813433430247,"Wind_Velocity"
"26","(5.14,14.1]",262,0.25,4.5,2.325,6.6875,3.75973943568374,2.02914262807327,6.26524353572477,0.934444949439018,0.666534468150788,1.38824539060629,"Wind_Velocity"
"27","FALSE",100,0.0954198473282443,4.2,2.4,6.325,3.49110797048796,1.90410522173003,5.68289794432523,0.921667455145822,0.64133868621397,1.25331506055361,"Basement"
"28","TRUE",948,0.904580152671756,4.4,2,6.9,3.52349115686405,1.73294289382479,6.02280779378553,0.91814881496746,0.654064322014325,1.32627838814295,"Basement"
